,Player,Round,Pick,WS,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
466,Rakeem Christmas,2,36,0.5,2015-16,2016-17,24-25,30,0,0,7.5,0.7,1.5,0.7,1.5,0.0,0.0,0.7,1.0,0.9,1.0,1.9,0.1,0.1,0.2,0.3,1.3,2.1,0.467,0.467,,0.724,0.545,0.467,F
467,Max Christie,2,35,0.6,2022-23,2022-23,19,41,3,0,12.5,1.1,2.6,0.4,1.1,0.6,1.5,0.3,0.4,0.2,1.7,1.8,0.5,0.2,0.2,0.3,0.8,3.1,0.415,0.409,0.419,0.875,0.566,0.538,G
468,Marquese Chriss,1,8,6.5,2016-17,2021-22,19-24,292,147,0,18.3,2.8,6.2,2.3,4.3,0.6,1.9,1.3,2.0,1.2,3.4,4.7,1.0,0.6,0.8,1.2,2.5,7.6,0.456,0.528,0.29,0.667,0.531,0.5,F
469,Kennedy Chandler,2,38,0.3,2022-23,2022-23,20,36,0,0,7.8,1.0,2.3,0.9,1.9,0.1,0.4,0.2,0.4,0.3,0.8,1.1,1.6,0.3,0.1,0.5,0.4,2.2,0.422,0.485,0.133,0.462,0.44,0.434,G
470,Willie Cauley-Stein,1,6,23.3,2015-16,2021-22,22-28,422,256,0,22.0,3.7,6.8,3.7,6.7,0.0,0.1,1.3,2.2,1.6,4.2,5.9,1.4,0.8,0.8,0.9,2.3,8.7,0.544,0.548,0.188,0.612,0.564,0.545,F-C
471,Michael Carter-Williams,1,11,6.6,2013-14,2022-23,22-31,395,217,0,25.2,3.8,9.4,3.3,7.6,0.5,1.8,2.2,3.1,1.0,3.4,4.3,4.3,1.3,0.5,2.3,2.4,10.2,0.402,0.436,0.256,0.705,0.473,0.426,G
472,Wendell Carter Jr.,1,7,18.1,2018-19,2022-23,19-23,260,246,0,28.0,4.9,9.5,4.2,7.4,0.7,2.1,2.4,3.3,2.4,6.5,8.8,2.1,0.6,0.8,1.7,3.0,12.9,0.516,0.572,0.321,0.733,0.589,0.552,C
473,Jevon Carter,2,32,8.0,2018-19,2022-23,23-27,304,48,0,16.3,1.9,4.8,0.8,1.9,1.2,3.0,0.3,0.4,0.4,1.6,1.9,1.7,0.6,0.3,0.6,1.4,5.4,0.4,0.405,0.397,0.811,0.537,0.523,G
474,Vernon Carey Jr.,2,32,0.2,2020-21,2022-23,19-21,37,5,0,5.1,0.7,1.5,0.7,1.4,0.0,0.2,0.5,0.7,0.5,0.9,1.4,0.1,0.1,0.2,0.3,0.6,1.9,0.474,0.52,0.143,0.654,0.526,0.482,C
475,Derrick Caracter,2,58,0.3,2010-11,2010-11,22,41,0,0,5.2,0.8,1.6,0.8,1.6,0.0,0.0,0.4,0.6,0.5,0.6,1.0,0.2,0.1,0.2,0.5,1.1,2.0,0.485,0.485,,0.739,0.532,0.485,F
476,Isaiah Canaan,2,34,4.3,2013-14,2018-19,22-27,235,77,0,20.4,2.6,7.1,1.1,2.6,1.6,4.4,1.3,1.6,0.3,1.6,1.9,1.9,0.6,0.1,1.1,1.5,8.1,0.371,0.404,0.351,0.836,0.524,0.481,G
477,Kentavious Caldwell-Pope,1,8,39.1,2013-14,2022-23,20-29,759,617,0,29.5,4.1,9.7,2.4,5.0,1.7,4.7,1.6,1.9,0.6,2.5,3.1,1.8,1.1,0.2,1.0,1.8,11.5,0.424,0.479,0.365,0.814,0.546,0.512,G
478,Jimmy Butler,1,30,105.9,2011-12,2022-23,22-33,754,649,6,33.2,5.9,12.6,5.1,10.2,0.8,2.4,5.6,6.6,1.6,3.7,5.3,4.2,1.6,0.5,1.6,1.4,18.2,0.467,0.502,0.323,0.842,0.584,0.499,F-G
479,Jared Butler,2,40,0.5,2021-22,2022-23,21-22,48,2,0,9.1,1.6,3.8,0.9,1.7,0.7,2.1,0.2,0.3,0.1,0.9,1.0,1.5,0.5,0.2,0.8,1.1,4.1,0.415,0.506,0.343,0.688,0.521,0.511,G
480,Alec Burks,1,12,28.6,2011-12,2022-23,20-31,676,143,0,22.9,3.6,8.6,2.5,5.6,1.1,2.9,2.5,3.1,0.6,2.9,3.5,2.0,0.7,0.2,1.2,1.9,10.8,0.419,0.437,0.384,0.801,0.543,0.485,G
481,Trey Burke,1,9,12.9,2013-14,2021-22,21-29,498,130,0,20.9,3.7,9.0,2.6,5.7,1.1,3.3,1.1,1.3,0.3,1.4,1.8,3.1,0.6,0.1,1.1,1.3,9.6,0.41,0.448,0.345,0.81,0.5,0.473,G
482,Reggie Bullock,1,25,20.8,2013-14,2022-23,22-31,512,294,0,23.7,2.7,6.5,1.1,2.1,1.7,4.3,0.5,0.7,0.4,2.3,2.7,1.2,0.6,0.1,0.6,1.5,7.7,0.425,0.506,0.384,0.827,0.57,0.553,G-F
483,Thomas Bryant,2,42,15.7,2017-18,2022-23,20-25,229,134,0,19.7,4.0,6.8,3.5,5.4,0.5,1.4,1.5,2.0,1.5,4.2,5.7,1.1,0.3,0.8,0.8,1.8,10.1,0.598,0.659,0.366,0.757,0.661,0.636,C
484,Jalen Brunson,2,33,26.0,2018-19,2022-23,22-26,345,195,0,26.7,5.4,11.0,4.2,7.8,1.2,3.1,2.2,2.8,0.5,2.7,3.1,4.2,0.6,0.1,1.4,1.8,14.3,0.493,0.536,0.386,0.812,0.585,0.548,G
485,Sterling Brown,2,46,6.6,2017-18,2022-23,22-27,268,29,0,16.6,2.0,4.7,1.1,2.2,0.9,2.5,0.5,0.6,0.6,2.8,3.3,1.0,0.5,0.2,0.7,1.4,5.3,0.419,0.485,0.363,0.796,0.536,0.517,G
486,Markel Brown,2,44,1.1,2014-15,2017-18,23-26,113,35,0,15.9,1.8,4.8,1.3,3.1,0.5,1.7,1.0,1.3,0.4,1.7,2.1,1.2,0.6,0.2,0.7,1.4,5.2,0.38,0.427,0.295,0.781,0.482,0.432,G
487,Lorenzo Brown,2,52,-0.2,2013-14,2018-19,23-28,103,7,0,11.5,1.2,3.3,1.0,2.3,0.2,1.0,0.3,0.4,0.3,1.2,1.5,1.8,0.6,0.1,0.7,1.0,2.8,0.364,0.453,0.17,0.707,0.411,0.391,G
488,Kendall Brown,2,48,0.1,2022-23,2022-23,19,6,0,0,6.7,0.7,1.2,0.7,1.0,0.0,0.2,0.2,0.3,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5,0.571,0.667,0.0,0.5,0.571,0.571,G-F
489,Jaylen Brown,1,3,29.4,2016-17,2022-23,20-26,470,363,2,29.7,6.7,14.1,4.8,8.9,1.9,5.1,2.6,3.6,0.9,4.3,5.2,2.2,1.0,0.4,2.0,2.5,17.9,0.477,0.541,0.365,0.723,0.572,0.543,F-G
490,Bruce Brown,2,42,17.0,2018-19,2022-23,22-26,349,212,0,24.6,3.4,7.0,2.8,5.3,0.6,1.7,1.2,1.7,1.1,3.1,4.2,2.4,0.9,0.6,1.1,2.4,8.5,0.482,0.528,0.341,0.749,0.555,0.524,G-F
491,Anthony Brown,2,34,-0.2,2015-16,2017-18,23-25,41,11,0,18.6,1.4,4.3,0.7,1.9,0.7,2.4,0.4,0.5,0.4,2.1,2.5,0.7,0.5,0.1,0.5,1.2,3.9,0.328,0.38,0.286,0.85,0.433,0.407,F-G
492,Dillon Brooks,2,45,6.9,2017-18,2022-23,22-27,345,318,0,28.7,5.4,13.1,3.8,8.2,1.7,4.9,2.0,2.5,0.7,2.4,3.1,2.1,0.9,0.3,1.6,3.3,14.5,0.416,0.459,0.342,0.795,0.512,0.479,F-G
493,Malcolm Brogdon,2,36,30.0,2016-17,2022-23,24-30,400,258,0,29.5,5.7,12.2,4.1,8.0,1.6,4.2,2.4,2.7,0.8,3.4,4.2,4.6,0.8,0.2,1.7,1.9,15.4,0.467,0.508,0.388,0.879,0.575,0.533,G
494,Miles Bridges,1,12,16.0,2018-19,2021-22,20-23,291,188,0,29.1,5.0,10.7,3.5,6.3,1.5,4.3,1.8,2.2,1.1,4.5,5.6,2.3,0.7,0.7,1.4,2.0,13.4,0.473,0.559,0.346,0.809,0.575,0.543,G-F
495,Mikal Bridges,1,10,32.1,2018-19,2022-23,22-26,392,325,0,32.2,4.9,9.8,3.3,5.8,1.5,4.0,1.9,2.2,0.9,3.1,4.0,2.3,1.3,0.6,1.0,2.0,13.1,0.495,0.578,0.376,0.857,0.609,0.573,F-G
496,Ignas Brazdeikis,2,47,0.4,2019-20,2021-22,21-23,64,1,0,13.1,1.9,4.6,1.3,2.6,0.6,1.9,0.5,0.8,0.6,1.3,1.9,0.9,0.2,0.1,0.5,1.1,5.0,0.416,0.491,0.315,0.686,0.504,0.483,F
497,Christian Braun,1,21,1.9,2022-23,2022-23,21,76,6,0,15.5,1.9,3.8,1.4,2.5,0.4,1.3,0.5,0.8,0.6,1.8,2.4,0.8,0.5,0.2,0.5,1.3,4.7,0.495,0.565,0.354,0.625,0.568,0.554,G
498,Jarrell Brantley,2,50,0.6,2019-20,2022-23,23-26,41,0,0,6.7,1.0,2.3,0.6,1.1,0.5,1.2,0.1,0.1,0.3,1.0,1.3,0.7,0.2,0.2,0.4,0.7,2.7,0.457,0.545,0.38,0.833,0.569,0.559,F
499,Malaki Branham,1,20,-0.1,2022-23,2022-23,19,66,32,0,23.5,4.1,9.3,2.9,5.4,1.2,3.9,0.9,1.1,0.4,2.3,2.7,1.9,0.5,0.1,1.2,1.7,10.2,0.44,0.539,0.302,0.829,0.524,0.503,G
500,Tony Bradley,1,28,7.5,2017-18,2022-23,20-25,179,18,0,11.1,1.9,3.1,1.9,3.0,0.0,0.1,0.5,0.8,1.5,2.5,4.1,0.5,0.2,0.6,0.6,1.4,4.4,0.631,0.634,0.5,0.681,0.651,0.637,F-C
501,Avery Bradley,1,19,17.2,2010-11,2021-22,20-31,660,544,0,27.5,4.4,10.2,3.1,6.6,1.3,3.6,0.9,1.1,0.6,2.2,2.8,1.7,1.0,0.2,1.3,2.2,11.0,0.434,0.471,0.365,0.783,0.516,0.498,G
502,Craig Brackins,1,21,-0.2,2010-11,2011-12,23-24,17,1,0,7.1,0.8,2.9,0.6,2.1,0.2,0.8,0.1,0.1,0.4,0.7,1.1,0.5,0.1,0.1,0.2,0.5,1.8,0.265,0.286,0.214,0.5,0.301,0.296,F
503,James Bouknight,1,11,-0.4,2021-22,2022-23,21-22,65,0,0,12.6,1.8,5.1,1.0,2.7,0.8,2.4,0.7,0.9,0.5,1.4,1.9,1.0,0.3,0.1,0.7,1.2,5.1,0.353,0.386,0.316,0.77,0.461,0.428,G
504,Brandon Boston Jr.,2,51,0.6,2021-22,2022-23,20-21,73,1,0,13.8,2.4,6.1,1.8,4.2,0.6,1.9,1.2,1.5,0.3,1.6,1.9,1.0,0.5,0.2,0.6,0.9,6.7,0.394,0.423,0.329,0.8,0.491,0.445,G-F
505,Trevor Booker,1,23,26.2,2010-11,2017-18,23-30,532,162,0,20.4,2.9,5.6,2.8,5.2,0.1,0.5,1.0,1.5,1.9,3.6,5.5,1.1,0.7,0.5,1.0,2.0,6.9,0.515,0.534,0.305,0.636,0.548,0.528,F
506,Devin Booker,1,13,35.9,2015-16,2022-23,19-26,530,505,3,33.8,8.4,18.2,6.3,12.5,2.1,5.8,5.1,5.9,0.6,3.4,4.0,4.8,0.8,0.3,3.1,3.0,23.9,0.461,0.509,0.356,0.868,0.575,0.517,G
507,Jordan Bone,2,57,0.1,2019-20,2020-21,22-23,24,0,0,10.4,1.2,3.1,0.7,1.3,0.5,1.8,0.0,0.0,0.2,1.0,1.2,1.1,0.1,0.0,0.2,0.7,2.8,0.378,0.5,0.286,,0.459,0.459,G
508,Joel Bolomboy,2,52,0.3,2016-17,2017-18,23-24,18,0,0,5.1,0.7,1.2,0.6,0.9,0.1,0.3,0.3,0.7,0.6,0.9,1.5,0.1,0.2,0.1,0.2,0.2,1.7,0.545,0.647,0.2,0.5,0.568,0.568,F
509,Jonah Bolden,2,36,1.4,2018-19,2019-20,23-24,51,10,0,13.5,1.6,3.4,1.0,1.4,0.7,2.0,0.3,0.6,1.0,2.4,3.4,0.8,0.4,0.8,0.7,2.1,4.3,0.486,0.685,0.34,0.484,0.581,0.584,F
510,Bol Bol,2,44,2.5,2019-20,2022-23,20-23,123,35,0,14.9,2.6,4.8,2.2,3.6,0.4,1.2,0.8,1.1,0.6,3.2,3.8,0.7,0.3,0.8,1.1,1.0,6.3,0.533,0.615,0.293,0.739,0.595,0.57,F-C
511,Jaron Blossomgame,2,59,0.3,2018-19,2018-19,25,27,4,0,16.3,1.7,3.9,1.4,2.5,0.4,1.4,0.4,0.5,1.0,2.7,3.6,0.5,0.3,0.3,0.4,0.7,4.2,0.443,0.552,0.256,0.769,0.51,0.491,F
512,Eric Bledsoe,1,18,46.1,2010-11,2021-22,21-32,756,568,0,27.8,4.9,10.8,3.8,7.4,1.1,3.4,2.8,3.6,0.8,3.1,3.9,4.7,1.4,0.5,2.5,2.0,13.7,0.452,0.504,0.336,0.784,0.553,0.504,G
513,Jabari Bird,2,56,0.2,2017-18,2017-18,23,13,1,0,8.8,1.2,2.0,0.9,1.5,0.2,0.5,0.5,1.0,0.5,1.0,1.5,0.6,0.2,0.1,0.6,0.5,3.0,0.577,0.632,0.429,0.462,0.615,0.635,G
514,Tyler Bey,2,36,0.0,2020-21,2020-21,22,18,0,0,3.9,0.4,1.2,0.3,1.0,0.1,0.2,0.2,0.3,0.4,0.6,1.1,0.2,0.0,0.1,0.2,0.3,1.0,0.318,0.333,0.25,0.6,0.372,0.341,F
515,Saddiq Bey,1,19,11.1,2020-21,2022-23,21-23,229,172,0,29.4,4.7,11.6,2.4,5.1,2.3,6.5,2.4,2.8,1.1,3.8,4.9,1.9,0.9,0.2,1.0,1.6,14.1,0.406,0.464,0.361,0.844,0.55,0.507,F
516,Ben Bentil,2,51,-0.1,2016-17,2016-17,21,3,0,0,3.3,0.0,1.0,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,,0.0,0.0,F
517,Keith Benson,2,48,0.0,2011-12,2011-12,23,3,0,0,3.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,C
518,Anthony Bennett,1,1,0.5,2013-14,2016-17,20-23,151,4,0,12.6,1.7,4.2,1.4,3.3,0.2,0.9,0.8,1.2,0.9,2.3,3.1,0.5,0.4,0.2,0.7,1.4,4.4,0.392,0.427,0.261,0.67,0.457,0.42,F
519,Jordan Bell,2,38,4.9,2017-18,2021-22,23-27,161,17,0,12.0,1.6,2.9,1.6,2.8,0.0,0.1,0.5,0.7,1.0,2.1,3.1,1.2,0.4,0.8,0.7,1.2,3.7,0.552,0.567,0.2,0.636,0.572,0.556,F
520,Malik Beasley,1,19,11.8,2016-17,2022-23,20-26,417,114,0,21.9,4.0,9.4,1.8,3.6,2.2,5.8,0.7,0.9,0.4,2.3,2.7,1.3,0.6,0.1,0.8,1.2,10.8,0.422,0.491,0.378,0.808,0.554,0.538,G
521,Bradley Beal,1,3,52.2,2012-13,2022-23,19-29,695,661,3,34.7,8.1,17.6,5.9,11.7,2.2,5.9,3.8,4.6,0.9,3.2,4.1,4.3,1.1,0.4,2.5,2.2,22.1,0.46,0.503,0.372,0.823,0.564,0.522,G
522,Keita Bates-Diop,2,48,6.2,2018-19,2022-23,23-27,230,59,0,17.0,2.4,5.1,1.9,3.5,0.5,1.6,1.1,1.5,0.8,2.4,3.2,0.9,0.5,0.3,0.6,0.9,6.5,0.48,0.545,0.339,0.749,0.569,0.533,F
523,Charles Bassey,2,53,2.1,2021-22,2022-23,21-22,58,2,0,11.7,2.0,3.1,2.0,2.9,0.1,0.2,0.5,0.8,1.7,2.7,4.4,0.9,0.4,0.9,0.8,1.8,4.6,0.643,0.671,0.25,0.633,0.658,0.651,C
524,Will Barton,2,40,26.5,2012-13,2022-23,22-32,679,286,0,25.2,4.2,9.7,2.8,6.0,1.3,3.7,1.6,2.0,0.7,3.4,4.1,2.7,0.7,0.4,1.4,1.5,11.2,0.43,0.477,0.355,0.787,0.532,0.498,G
525,Scottie Barnes,1,4,11.6,2021-22,2022-23,20-21,151,150,0,35.1,6.1,12.9,5.3,10.1,0.8,2.8,2.3,3.1,2.5,4.6,7.1,4.2,1.1,0.8,1.9,2.4,15.3,0.473,0.523,0.29,0.755,0.538,0.504,G-F
526,Harrison Barnes,1,7,51.4,2012-13,2022-23,20-30,829,768,0,31.9,5.0,11.1,3.7,7.4,1.4,3.6,2.8,3.4,1.0,4.0,5.0,1.8,0.7,0.2,1.2,1.6,14.2,0.455,0.492,0.378,0.811,0.566,0.517,F
527,Dalano Banton,2,46,0.8,2021-22,2022-23,22-23,95,3,0,10.3,1.5,3.5,1.2,2.4,0.3,1.1,0.5,0.7,0.5,1.3,1.8,1.4,0.4,0.2,0.7,1.1,3.7,0.416,0.478,0.275,0.632,0.479,0.458,G-F
528,Desmond Bane,1,30,16.0,2020-21,2022-23,22-24,202,151,0,27.9,5.9,12.6,3.4,6.6,2.5,5.9,1.8,2.0,0.6,3.5,4.1,2.9,0.9,0.3,1.5,2.3,16.1,0.469,0.509,0.425,0.883,0.599,0.57,G
529,Paolo Banchero,1,1,2.4,2022-23,2022-23,20,72,72,0,33.8,6.7,15.6,5.5,11.6,1.2,4.0,5.5,7.4,1.2,5.7,6.9,3.7,0.8,0.5,2.8,2.2,20.0,0.427,0.471,0.298,0.738,0.529,0.465,F
530,Lonzo Ball,1,2,11.4,2017-18,2021-22,20-24,252,239,0,32.5,4.4,11.1,2.1,4.6,2.4,6.5,0.7,1.1,1.0,4.7,5.7,6.2,1.6,0.6,2.5,2.2,11.9,0.4,0.451,0.364,0.578,0.513,0.507,G
531,Patrick Baldwin Jr.,1,28,0.1,2022-23,2022-23,20,31,0,0,7.3,1.4,3.5,0.4,0.8,1.0,2.7,0.1,0.2,0.0,1.3,1.3,0.4,0.2,0.1,0.4,0.5,3.9,0.394,0.44,0.381,0.667,0.546,0.541,G-F
532,Cameron Bairstow,2,49,-0.1,2014-15,2015-16,24-25,36,3,0,4.6,0.4,1.5,0.4,1.4,0.0,0.1,0.3,0.4,0.3,0.7,1.0,0.2,0.1,0.1,0.2,0.8,1.2,0.296,0.306,0.2,0.846,0.368,0.306,F-C
533,Marvin Bagley III,1,2,9.3,2018-19,2022-23,19-23,208,102,0,24.8,5.3,10.5,4.8,8.7,0.5,1.9,2.1,3.1,2.4,4.8,7.2,0.9,0.5,0.7,1.3,2.1,13.3,0.506,0.552,0.29,0.678,0.559,0.531,F-C
534,Dwayne Bacon,2,40,0.8,2017-18,2020-21,22-25,207,80,0,19.4,2.8,6.9,2.1,4.9,0.6,2.0,1.1,1.4,0.3,2.3,2.6,1.1,0.5,0.1,0.6,1.3,7.3,0.402,0.437,0.314,0.78,0.485,0.447,G
535,Luke Babbitt,1,16,7.2,2010-11,2017-18,21-28,381,107,0,14.0,1.7,4.2,0.7,1.6,1.0,2.6,0.3,0.4,0.3,1.9,2.2,0.6,0.2,0.2,0.4,1.4,4.8,0.408,0.417,0.402,0.747,0.546,0.532,F
536,Udoka Azubuike,1,27,1.8,2020-21,2022-23,21-23,68,10,0,9.0,1.5,1.9,1.5,1.9,0.0,0.0,0.3,0.6,0.8,2.2,3.0,0.2,0.1,0.4,0.5,1.0,3.3,0.769,0.769,,0.512,0.746,0.769,C
537,Deandre Ayton,1,1,30.9,2018-19,2022-23,20-24,303,296,0,30.6,7.3,12.2,7.2,12.0,0.1,0.3,2.0,2.6,3.0,7.4,10.4,1.6,0.7,1.0,1.7,2.8,16.7,0.597,0.604,0.263,0.755,0.622,0.599,C
538,OG Anunoby,1,23,22.2,2017-18,2022-23,20-25,368,294,0,28.4,4.4,9.3,2.8,5.0,1.6,4.3,1.2,1.7,1.1,3.2,4.3,1.5,1.2,0.5,1.3,2.4,11.6,0.471,0.553,0.375,0.744,0.579,0.558,F
539,Cole Anthony,1,15,5.3,2020-21,2022-23,20-22,172,103,0,28.4,5.0,12.1,3.4,7.6,1.5,4.5,2.8,3.2,0.7,4.3,5.0,4.6,0.7,0.4,2.1,2.5,14.2,0.411,0.451,0.345,0.861,0.528,0.475,G
540,Kostas Antetokounmpo,2,60,-0.2,2018-19,2020-21,21-23,22,0,0,4.0,0.3,0.7,0.3,0.7,0.0,0.0,0.4,0.9,0.3,0.8,1.0,0.1,0.2,0.2,0.6,0.5,1.0,0.375,0.375,,0.474,0.431,0.375,F
541,Ike Anigbogu,2,47,0.0,2017-18,2018-19,19-20,14,0,0,2.6,0.3,0.9,0.3,0.9,0.0,0.0,0.4,0.4,0.4,0.4,0.9,0.1,0.1,0.3,0.2,0.1,0.9,0.333,0.333,,0.833,0.444,0.333,F-C
542,Kyle Anderson,1,30,32.1,2014-15,2022-23,21-29,574,294,0,21.8,2.7,5.7,2.3,4.4,0.4,1.3,1.1,1.5,0.8,3.7,4.5,2.6,1.0,0.6,1.0,1.6,7.0,0.481,0.521,0.345,0.715,0.551,0.52,F-G
543,Justin Anderson,1,21,4.9,2015-16,2021-22,22-28,242,30,0,13.6,1.9,4.6,1.2,2.3,0.7,2.3,0.9,1.2,0.6,2.0,2.6,0.8,0.4,0.3,0.6,1.2,5.3,0.41,0.526,0.292,0.775,0.522,0.482,G
544,James Anderson,1,20,3.3,2010-11,2015-16,21-26,247,83,0,17.5,2.1,5.2,1.3,2.7,0.8,2.5,0.7,0.9,0.4,1.8,2.3,1.2,0.5,0.2,0.9,1.2,5.8,0.411,0.495,0.321,0.755,0.516,0.488,G-F
545,Al-Farouq Aminu,1,8,27.6,2010-11,2020-21,20-30,711,445,0,24.9,2.7,6.5,2.0,4.2,0.8,2.3,1.3,1.7,1.4,4.6,6.0,1.2,1.0,0.6,1.2,1.8,7.5,0.42,0.467,0.332,0.746,0.517,0.478,F
546,Lavoy Allen,2,50,13.8,2011-12,2016-17,22-27,388,87,0,17.8,2.1,4.5,2.1,4.5,0.0,0.0,0.5,0.7,1.8,2.9,4.8,1.0,0.3,0.6,0.7,1.8,4.8,0.471,0.474,0.133,0.682,0.491,0.472,F-C
547,Kadeem Allen,2,53,1.0,2017-18,2019-20,25-27,47,2,0,13.6,1.9,4.4,1.4,3.1,0.5,1.3,1.2,1.6,0.3,1.2,1.5,2.3,0.5,0.2,0.9,1.4,5.5,0.435,0.472,0.349,0.757,0.538,0.488,G
548,Jarrett Allen,1,22,44.4,2017-18,2022-23,19-24,409,344,1,27.6,4.7,7.5,4.7,7.3,0.0,0.3,2.5,3.5,2.8,6.0,8.9,1.4,0.6,1.3,1.3,2.1,12.0,0.63,0.645,0.181,0.704,0.661,0.633,C-F
549,Grayson Allen,1,21,13.1,2018-19,2022-23,23-27,264,171,0,23.4,3.2,7.5,1.3,2.7,1.9,4.8,1.3,1.5,0.5,2.3,2.8,1.7,0.6,0.2,0.9,1.5,9.7,0.435,0.509,0.395,0.861,0.596,0.562,G
550,Nickeil Alexander-Walker,1,17,1.7,2019-20,2022-23,21-24,217,38,0,18.2,3.1,7.8,1.8,3.9,1.3,3.9,0.9,1.3,0.3,2.0,2.4,2.1,0.7,0.3,1.2,1.5,8.4,0.397,0.454,0.339,0.713,0.503,0.481,G
551,Cole Aldrich,1,11,9.6,2010-11,2017-18,22-29,339,23,0,10.0,1.3,2.4,1.3,2.4,0.0,0.0,0.5,0.7,1.0,2.4,3.3,0.5,0.4,0.7,0.6,1.5,3.1,0.527,0.527,,0.738,0.563,0.527,C
552,Santi Aldama,1,30,4.9,2021-22,2022-23,21-22,109,20,0,18.7,2.8,6.0,1.8,3.1,0.9,2.9,1.2,1.6,1.1,3.1,4.2,1.1,0.5,0.5,0.7,1.6,7.6,0.457,0.583,0.318,0.727,0.564,0.533,F
553,Solomon Alabi,2,50,0.0,2010-11,2011-12,22-23,26,0,0,7.0,0.6,2.0,0.6,2.0,0.0,0.0,0.3,0.4,0.8,1.5,2.3,0.2,0.2,0.4,0.3,0.6,1.5,0.314,0.314,,0.7,0.352,0.314,C
554,Ochai Agbaji,1,14,1.3,2022-23,2022-23,22,59,22,0,20.5,2.8,6.5,1.4,2.7,1.4,3.9,0.9,1.2,0.7,1.3,2.1,1.1,0.3,0.3,0.7,1.7,7.9,0.427,0.532,0.355,0.812,0.561,0.532,G
555,Bam Adebayo,1,14,42.8,2017-18,2022-23,20-25,418,314,2,29.3,5.6,10.2,5.6,10.0,0.0,0.1,3.4,4.5,2.2,6.3,8.5,3.4,1.0,0.9,2.1,2.5,14.7,0.554,0.56,0.129,0.755,0.604,0.555,C-F
556,Steven Adams,1,12,59.3,2013-14,2022-23,20-29,706,641,0,26.8,3.8,6.5,3.8,6.5,0.0,0.0,1.5,2.9,3.7,4.5,8.2,1.5,0.9,1.0,1.5,2.5,9.2,0.587,0.589,0.067,0.536,0.591,0.587,C
557,Jordan Adams,1,22,0.4,2014-15,2015-16,20-21,32,0,0,8.2,1.2,2.9,0.8,2.1,0.3,0.8,0.5,0.9,0.3,0.7,0.9,0.6,0.6,0.2,0.5,0.8,3.2,0.402,0.409,0.385,0.607,0.484,0.457,G
558,Quincy Acy,2,37,8.7,2012-13,2018-19,22-28,337,60,0,16.0,1.7,3.9,1.2,2.3,0.5,1.6,0.9,1.1,0.9,2.6,3.5,0.6,0.4,0.4,0.6,2.0,4.9,0.444,0.506,0.35,0.759,0.553,0.513,F-C
559,Precious Achiuwa,1,20,6.0,2020-21,2022-23,21-23,189,44,0,19.1,3.1,6.5,2.6,5.1,0.4,1.4,1.2,1.9,1.7,3.7,5.3,0.9,0.5,0.5,1.0,1.8,7.8,0.474,0.515,0.321,0.605,0.529,0.508,F
